defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,type_numeric,location_numeric,severity_numeric,inspection_method_numeric,year,month,day_of_week,defect_to_product_ratio,cost_bin,defects_per_inspection,avg_cost_per_defect_type,defects_per_day,cost_to_product_ratio,inspection_efficiency
44,24,Structural,2024-05-18,Surface,Minor,Visual Inspection,456.8,1,3,1,1,2024,5,Saturday,0.08,Medium,351,502.6245738636364,4,33.579899999999995,494.0540740740741
45,64,Functional,2024-05-27,Surface,Minor,Automated Testing,215.01,2,3,1,2,2024,5,Monday,0.11,Low,297,507.0961061946902,5,55.9664,501.8043097643098
46,36,Structural,2024-04-24,Surface,Moderate,Manual Testing,824.3,1,3,2,3,2024,4,Wednesday,0.12,Critical,352,502.6245738636364,9,52.018499999999996,526.0746875
47,79,Structural,2024-02-14,Component,Critical,Manual Testing,769.28,1,1,3,3,2024,2,Wednesday,0.13,Critical,352,502.6245738636364,5,74.263,526.0746875
48,36,Structural,2024-01-03,Component,Moderate,Manual Testing,160.25,1,1,2,3,2024,1,Wednesday,0.12,Low,352,502.6245738636364,7,52.018499999999996,526.0746875
49,65,Functional,2024-02-24,Component,Minor,Automated Testing,386.17,2,1,1,2,2024,2,Saturday,0.11,Medium,297,507.0961061946902,3,55.3059,501.8043097643098
50,9,Functional,2024-01-06,Component,Moderate,Manual Testing,572.08,2,1,2,3,2024,1,Saturday,0.09,High,352,507.0961061946902,9,44.38399999999999,526.0746875
51,10,Structural,2024-06-26,Internal,Minor,Visual Inspection,433.85,1,2,1,1,2024,6,Wednesday,0.16,Medium,351,502.6245738636364,6,100.8492,494.0540740740741
52,7,Structural,2024-05-19,Surface,Minor,Manual Testing,338.1,1,3,1,3,2024,5,Sunday,0.14,Medium,352,502.6245738636364,9,64.9622,526.0746875
53,81,Functional,2024-01-03,Surface,Critical,Automated Testing,93.13,2,3,3,2,2024,1,Wednesday,0.2,Low,297,507.0961061946902,7,117.40639999999999,501.8043097643098
54,62,Cosmetic,2024-05-14,Component,Moderate,Visual Inspection,308.37,3,1,2,1,2024,5,Tuesday,0.09,Medium,351,513.9084789644013,7,32.7141,494.0540740740741
55,29,Structural,2024-03-23,Internal,Critical,Automated Testing,396.58,1,2,3,2,2024,3,Saturday,0.07,Medium,297,502.6245738636364,12,27.5156,501.8043097643098
56,73,Structural,2024-01-19,Surface,Minor,Automated Testing,957.6,1,3,1,2,2024,1,Friday,0.06,Critical,297,502.6245738636364,5,44.0672,501.8043097643098
57,86,Structural,2024-03-06,Internal,Moderate,Automated Testing,205.19,1,2,2,2,2024,3,Wednesday,0.14,Low,297,502.6245738636364,4,71.40729999999999,501.8043097643098
58,5,Cosmetic,2024-05-25,Component,Critical,Manual Testing,300.27,3,1,3,3,2024,5,Saturday,0.13,Medium,352,513.9084789644013,4,59.1251,526.0746875
59,79,Structural,2024-03-10,Internal,Critical,Automated Testing,671.22,1,2,3,2,2024,3,Sunday,0.13,High,297,502.6245738636364,8,74.263,501.8043097643098
60,87,Functional,2024-02-18,Surface,Minor,Visual Inspection,395.1,2,3,1,1,2024,2,Sunday,0.12,Medium,351,507.0961061946902,8,62.4517,494.0540740740741
61,60,Structural,2024-06-11,Component,Critical,Visual Inspection,675.89,1,1,3,1,2024,6,Tuesday,0.1,High,351,502.6245738636364,5,63.1134,494.0540740740741
62,43,Cosmetic,2024-03-08,Component,Moderate,Visual Inspection,523.02,3,1,2,1,2024,3,Friday,0.13,High,351,513.9084789644013,5,75.4063,494.0540740740741
63,52,Structural,2024-01-02,Surface,Critical,Manual Testing,337.5,1,3,3,3,2024,1,Tuesday,0.04,Medium,352,502.6245738636364,11,16.4765,526.0746875
64,2,Cosmetic,2024-01-11,Surface,Minor,Automated Testing,830.89,3,3,1,2,2024,1,Thursday,0.07,Critical,297,513.9084789644013,7,31.894000000000002,501.8043097643098
65,22,Functional,2024-04-16,Component,Critical,Visual Inspection,84.97,2,1,3,1,2024,4,Tuesday,0.08,Low,351,507.0961061946902,8,37.5166,494.0540740740741
66,31,Functional,2024-05-24,Internal,Minor,Visual Inspection,771.96,2,2,1,1,2024,5,Friday,0.12,Critical,351,507.0961061946902,7,62.9977,494.0540740740741
67,87,Functional,2024-03-15,Internal,Minor,Automated Testing,46.43,2,2,1,2,2024,3,Friday,0.12,Low,297,507.0961061946902,6,62.4517,501.8043097643098
68,11,Cosmetic,2024-04-16,Internal,Minor,Automated Testing,31.91,3,2,1,2,2024,4,Tuesday,0.08,Low,297,513.9084789644013,8,39.253299999999996,501.8043097643098
69,33,Cosmetic,2024-05-19,Component,Moderate,Automated Testing,845.8,3,1,2,2,2024,5,Sunday,0.11,Critical,297,513.9084789644013,9,55.758100000000006,501.8043097643098
70,17,Functional,2024-02-19,Component,Minor,Manual Testing,729.55,2,1,1,3,2024,2,Monday,0.14,High,352,507.0961061946902,7,72.947,526.0746875
71,71,Cosmetic,2024-03-05,Surface,Moderate,Automated Testing,187.03,3,3,2,2,2024,3,Tuesday,0.06,Low,297,513.9084789644013,8,29.5278,501.8043097643098
72,35,Structural,2024-06-29,Component,Moderate,Automated Testing,470.35,1,1,2,2,2024,6,Saturday,0.11,Medium,297,502.6245738636364,4,58.6208,501.8043097643098
73,15,Functional,2024-05-20,Internal,Minor,Visual Inspection,662.35,2,2,1,1,2024,5,Monday,0.1,High,351,507.0961061946902,6,40.4251,494.0540740740741
74,43,Functional,2024-04-04,Component,Critical,Visual Inspection,509.97,2,1,3,1,2024,4,Thursday,0.13,High,351,507.0961061946902,11,75.4063,494.0540740740741
75,2,Functional,2024-01-03,Component,Critical,Manual Testing,352.33,2,1,3,3,2024,1,Wednesday,0.07,Medium,352,507.0961061946902,7,31.894000000000002,526.0746875
76,36,Functional,2024-03-27,Surface,Minor,Manual Testing,228.22,2,3,1,3,2024,3,Wednesday,0.12,Low,352,507.0961061946902,8,52.018499999999996,526.0746875
77,64,Functional,2024-02-06,Component,Critical,Manual Testing,632.45,2,1,3,3,2024,2,Tuesday,0.11,High,352,507.0961061946902,6,55.9664,526.0746875
78,28,Functional,2024-06-20,Component,Critical,Automated Testing,975.87,2,1,3,2,2024,6,Thursday,0.12,Critical,297,507.0961061946902,8,55.408199999999994,501.8043097643098
79,69,Structural,2024-03-23,Internal,Moderate,Visual Inspection,967.14,1,2,2,1,2024,3,Saturday,0.08,Critical,351,502.6245738636364,12,59.1702,494.0540740740741
80,75,Structural,2024-01-11,Surface,Moderate,Automated Testing,992.69,1,3,2,2,2024,1,Thursday,0.09,Critical,297,502.6245738636364,7,55.833099999999995,501.8043097643098
81,69,Functional,2024-03-14,Surface,Minor,Manual Testing,827.74,2,3,1,3,2024,3,Thursday,0.08,Critical,352,507.0961061946902,4,59.1702,526.0746875
82,74,Structural,2024-04-02,Component,Critical,Automated Testing,270.97,1,1,3,2,2024,4,Tuesday,0.15,Low,297,502.6245738636364,2,84.6054,501.8043097643098
83,69,Structural,2024-04-11,Surface,Critical,Visual Inspection,712.98,1,3,3,1,2024,4,Thursday,0.08,High,351,502.6245738636364,7,59.1702,494.0540740740741
84,11,Structural,2024-06-24,Component,Critical,Manual Testing,556.05,1,1,3,3,2024,6,Monday,0.08,High,352,502.6245738636364,8,39.253299999999996,526.0746875
85,92,Structural,2024-04-27,Component,Minor,Manual Testing,200.11,1,1,1,3,2024,4,Saturday,0.16,Low,352,502.6245738636364,5,75.8884,526.0746875
86,70,Structural,2024-01-14,Component,Moderate,Automated Testing,660.05,1,1,2,2,2024,1,Sunday,0.08,High,297,502.6245738636364,4,39.7,501.8043097643098
87,22,Structural,2024-01-21,Component,Moderate,Manual Testing,220.96,1,1,2,3,2024,1,Sunday,0.08,Low,352,502.6245738636364,7,37.5166,526.0746875
88,9,Functional,2024-02-09,Component,Critical,Visual Inspection,776.54,2,1,3,1,2024,2,Friday,0.09,Critical,351,507.0961061946902,6,44.38399999999999,494.0540740740741
89,6,Functional,2024-05-01,Surface,Moderate,Visual Inspection,920.26,2,3,2,1,2024,5,Wednesday,0.15,Critical,351,507.0961061946902,5,87.3381,494.0540740740741
90,58,Structural,2024-02-17,Internal,Moderate,Visual Inspection,492.22,1,2,2,1,2024,2,Saturday,0.1,Medium,351,502.6245738636364,9,60.3877,494.0540740740741
91,98,Cosmetic,2024-03-07,Surface,Critical,Manual Testing,513.45,3,3,3,3,2024,3,Thursday,0.08,High,352,513.9084789644013,2,46.043800000000005,526.0746875
92,93,Functional,2024-06-30,Component,Moderate,Automated Testing,286.28,2,1,2,2,2024,6,Sunday,0.09,Medium,297,507.0961061946902,4,34.596599999999995,501.8043097643098
93,10,Functional,2024-04-01,Surface,Minor,Automated Testing,698.89,2,3,1,2,2024,4,Monday,0.16,High,297,507.0961061946902,5,100.8492,501.8043097643098
94,72,Cosmetic,2024-02-02,Internal,Critical,Visual Inspection,555.25,3,2,3,1,2024,2,Friday,0.1,High,351,513.9084789644013,7,44.5527,494.0540740740741
95,36,Cosmetic,2024-05-16,Component,Moderate,Manual Testing,465.92,3,1,2,3,2024,5,Thursday,0.12,Medium,352,513.9084789644013,10,52.018499999999996,526.0746875
96,11,Structural,2024-03-08,Component,Critical,Manual Testing,732.13,1,1,3,3,2024,3,Friday,0.08,High,352,502.6245738636364,5,39.253299999999996,526.0746875
97,56,Structural,2024-03-15,Component,Moderate,Automated Testing,582.46,1,1,2,2,2024,3,Friday,0.18,High,297,502.6245738636364,6,99.163,501.8043097643098
98,67,Cosmetic,2024-03-10,Component,Moderate,Visual Inspection,647.7,3,1,2,1,2024,3,Sunday,0.12,High,351,513.9084789644013,8,67.6574,494.0540740740741
99,67,Structural,2024-04-08,Component,Critical,Visual Inspection,536.57,1,1,3,1,2024,4,Monday,0.12,High,351,502.6245738636364,7,67.6574,494.0540740740741
100,8,Functional,2024-04-24,Surface,Minor,Visual Inspection,673.85,2,3,1,1,2024,4,Wednesday,0.11,High,351,507.0961061946902,9,63.0805,494.0540740740741
101,27,Structural,2024-01-25,Internal,Minor,Manual Testing,871.1,1,2,1,3,2024,1,Thursday,0.12,Critical,352,502.6245738636364,8,66.631,526.0746875
102,79,Structural,2024-06-25,Internal,Critical,Visual Inspection,973.66,1,2,3,1,2024,6,Tuesday,0.13,Critical,351,502.6245738636364,6,74.263,494.0540740740741
103,87,Functional,2024-05-31,Internal,Critical,Visual Inspection,787.42,2,2,3,1,2024,5,Friday,0.12,Critical,351,507.0961061946902,4,62.4517,494.0540740740741
104,1,Structural,2024-06-25,Surface,Minor,Manual Testing,338.48,1,3,1,3,2024,6,Tuesday,0.12,Medium,352,502.6245738636364,6,66.52590000000001,526.0746875
105,49,Structural,2024-04-30,Component,Critical,Visual Inspection,922.07,1,1,3,1,2024,4,Tuesday,0.12,Critical,351,502.6245738636364,4,84.1922,494.0540740740741
106,9,Functional,2024-05-14,Surface,Moderate,Manual Testing,137.41,2,3,2,3,2024,5,Tuesday,0.09,Low,352,507.0961061946902,7,44.38399999999999,526.0746875
107,63,Structural,2024-06-28,Surface,Critical,Automated Testing,17.89,1,3,3,2,2024,6,Friday,0.2,Low,297,502.6245738636364,1,91.7406,501.8043097643098
108,97,Cosmetic,2024-01-26,Surface,Moderate,Manual Testing,210.3,3,3,2,3,2024,1,Friday,0.19,Low,352,513.9084789644013,8,84.0584,526.0746875
109,1,Cosmetic,2024-02-22,Component,Critical,Automated Testing,978.5,3,1,3,2,2024,2,Thursday,0.12,Critical,297,513.9084789644013,3,66.52590000000001,501.8043097643098
110,44,Functional,2024-03-05,Surface,Minor,Visual Inspection,381.15,2,3,1,1,2024,3,Tuesday,0.11,Medium,351,507.0961061946902,8,42.5841,494.0540740740741
111,27,Structural,2024-05-06,Component,Moderate,Manual Testing,302.42,1,1,2,3,2024,5,Monday,0.12,Medium,352,502.6245738636364,9,66.631,526.0746875
112,9,Cosmetic,2024-01-12,Component,Minor,Automated Testing,813.46,3,1,1,2,2024,1,Friday,0.09,Critical,297,513.9084789644013,6,44.38399999999999,501.8043097643098
113,67,Cosmetic,2024-04-08,Surface,Minor,Automated Testing,998.27,3,3,1,2,2024,4,Monday,0.12,Critical,297,513.9084789644013,7,67.6574,501.8043097643098
114,83,Functional,2024-01-25,Component,Critical,Manual Testing,498.47,2,1,3,3,2024,1,Thursday,0.11,Medium,352,507.0961061946902,8,52.4495,526.0746875
115,66,Functional,2024-04-30,Internal,Moderate,Visual Inspection,362.23,2,2,2,1,2024,4,Tuesday,0.11,Medium,351,507.0961061946902,4,58.736,494.0540740740741
116,36,Cosmetic,2024-01-09,Internal,Critical,Visual Inspection,194.79,3,2,3,1,2024,1,Tuesday,0.12,Low,351,513.9084789644013,11,52.018499999999996,494.0540740740741
117,64,Cosmetic,2024-01-11,Surface,Moderate,Visual Inspection,677.65,3,3,2,1,2024,1,Thursday,0.11,High,351,513.9084789644013,7,55.9664,494.0540740740741
118,66,Structural,2024-04-10,Surface,Critical,Manual Testing,310.8,1,3,3,3,2024,4,Wednesday,0.11,Medium,352,502.6245738636364,6,58.736,526.0746875
119,99,Structural,2024-03-05,Surface,Minor,Visual Inspection,717.21,1,3,1,1,2024,3,Tuesday,0.1,High,351,502.6245738636364,8,55.981300000000005,494.0540740740741
120,80,Functional,2024-03-08,Component,Critical,Manual Testing,641.58,2,1,3,3,2024,3,Friday,0.11,High,352,507.0961061946902,5,33.486799999999995,526.0746875
121,86,Structural,2024-06-09,Internal,Minor,Manual Testing,520.84,1,2,1,3,2024,6,Sunday,0.14,High,352,502.6245738636364,7,71.40729999999999,526.0746875
122,51,Structural,2024-04-16,Surface,Critical,Manual Testing,271.18,1,3,3,3,2024,4,Tuesday,0.13,Medium,352,502.6245738636364,8,66.7168,526.0746875
123,79,Cosmetic,2024-02-04,Internal,Minor,Manual Testing,657.81,3,2,1,3,2024,2,Sunday,0.13,High,352,513.9084789644013,8,74.263,526.0746875
124,100,Functional,2024-03-27,Internal,Moderate,Manual Testing,620.66,2,2,2,3,2024,3,Wednesday,0.07,High,352,507.0961061946902,8,43.7215,526.0746875
125,86,Cosmetic,2024-03-10,Surface,Critical,Visual Inspection,533.03,3,3,3,1,2024,3,Sunday,0.14,High,351,513.9084789644013,8,71.40729999999999,494.0540740740741
126,29,Structural,2024-02-01,Surface,Minor,Visual Inspection,21.77,1,3,1,1,2024,2,Thursday,0.07,Low,351,502.6245738636364,3,27.5156,494.0540740740741
127,68,Cosmetic,2024-05-19,Surface,Minor,Manual Testing,302.22,3,3,1,3,2024,5,Sunday,0.07,Medium,352,513.9084789644013,9,42.4433,526.0746875
128,92,Cosmetic,2024-03-02,Internal,Moderate,Automated Testing,895.38,3,2,2,2,2024,3,Saturday,0.16,Critical,297,513.9084789644013,5,75.8884,501.8043097643098
129,14,Cosmetic,2024-06-20,Surface,Critical,Visual Inspection,241.61,3,3,3,1,2024,6,Thursday,0.11,Low,351,513.9084789644013,8,56.9366,494.0540740740741
130,72,Cosmetic,2024-04-06,Internal,Critical,Automated Testing,878.46,3,2,3,2,2024,4,Saturday,0.1,Critical,297,513.9084789644013,6,44.5527,501.8043097643098
131,61,Functional,2024-05-15,Internal,Critical,Visual Inspection,268.08,2,2,3,1,2024,5,Wednesday,0.11,Low,351,507.0961061946902,5,59.6751,494.0540740740741
132,63,Structural,2024-04-23,Surface,Critical,Visual Inspection,492.32,1,3,3,1,2024,4,Tuesday,0.2,Medium,351,502.6245738636364,7,91.7406,494.0540740740741
133,86,Structural,2024-03-20,Surface,Moderate,Manual Testing,379.78,1,3,2,3,2024,3,Wednesday,0.14,Medium,352,502.6245738636364,5,71.40729999999999,526.0746875
134,98,Cosmetic,2024-02-03,Surface,Moderate,Visual Inspection,498.71,3,3,2,1,2024,2,Saturday,0.08,Medium,351,513.9084789644013,6,46.043800000000005,494.0540740740741
135,61,Cosmetic,2024-02-15,Internal,Moderate,Automated Testing,379.01,3,2,2,2,2024,2,Thursday,0.11,Medium,297,513.9084789644013,7,59.6751,501.8043097643098
136,67,Functional,2024-02-21,Internal,Minor,Automated Testing,79.52,2,2,1,2,2024,2,Wednesday,0.12,Low,297,507.0961061946902,4,67.6574,501.8043097643098
137,2,Functional,2024-04-19,Internal,Critical,Automated Testing,602.25,2,2,3,2,2024,4,Friday,0.07,High,297,507.0961061946902,10,31.894000000000002,501.8043097643098
138,11,Structural,2024-03-05,Component,Critical,Automated Testing,575.71,1,1,3,2,2024,3,Tuesday,0.08,High,297,502.6245738636364,8,39.253299999999996,501.8043097643098
139,58,Cosmetic,2024-06-24,Surface,Critical,Visual Inspection,760.33,3,3,3,1,2024,6,Monday,0.1,Critical,351,513.9084789644013,8,60.3877,494.0540740740741
140,68,Functional,2024-04-04,Internal,Critical,Manual Testing,955.54,2,2,3,3,2024,4,Thursday,0.07,Critical,352,507.0961061946902,11,42.4433,526.0746875
141,28,Cosmetic,2024-01-06,Internal,Minor,Visual Inspection,679.88,3,2,1,1,2024,1,Saturday,0.12,High,351,513.9084789644013,9,55.408199999999994,494.0540740740741
142,63,Structural,2024-03-25,Internal,Critical,Visual Inspection,71.91,1,2,3,1,2024,3,Monday,0.2,Low,351,502.6245738636364,4,91.7406,494.0540740740741
143,100,Functional,2024-05-27,Internal,Moderate,Manual Testing,916.79,2,2,2,3,2024,5,Monday,0.07,Critical,352,507.0961061946902,5,43.7215,526.0746875
144,45,Cosmetic,2024-06-18,Internal,Moderate,Manual Testing,558.34,3,2,2,3,2024,6,Tuesday,0.15,High,352,513.9084789644013,6,95.3236,526.0746875
145,25,Structural,2024-01-16,Internal,Minor,Manual Testing,23.02,1,2,1,3,2024,1,Tuesday,0.11,Low,352,502.6245738636364,8,34.7919,526.0746875
146,43,Cosmetic,2024-04-26,Internal,Minor,Visual Inspection,346.23,3,2,1,1,2024,4,Friday,0.13,Medium,351,513.9084789644013,10,75.4063,494.0540740740741
147,45,Structural,2024-04-05,Internal,Critical,Automated Testing,926.31,1,2,3,2,2024,4,Friday,0.15,Critical,297,502.6245738636364,8,95.3236,501.8043097643098
148,84,Cosmetic,2024-01-29,Internal,Critical,Automated Testing,783.88,3,2,3,2,2024,1,Monday,0.07,Critical,297,513.9084789644013,6,34.433099999999996,501.8043097643098
149,41,Cosmetic,2024-01-25,Surface,Moderate,Automated Testing,747.18,3,3,2,2,2024,1,Thursday,0.11,High,297,513.9084789644013,8,58.3353,501.8043097643098
150,53,Functional,2024-03-22,Surface,Critical,Manual Testing,415.84,2,3,3,3,2024,3,Friday,0.06,Medium,352,507.0961061946902,4,32.7112,526.0746875
151,61,Structural,2024-06-07,Component,Minor,Visual Inspection,502.15,1,1,1,1,2024,6,Friday,0.11,Medium,351,502.6245738636364,8,59.6751,494.0540740740741
152,97,Structural,2024-01-27,Internal,Moderate,Manual Testing,94.7,1,2,2,3,2024,1,Saturday,0.19,Low,352,502.6245738636364,7,84.0584,526.0746875
153,63,Cosmetic,2024-01-09,Surface,Minor,Manual Testing,426.04,3,3,1,3,2024,1,Tuesday,0.2,Medium,352,513.9084789644013,11,91.7406,526.0746875
154,75,Cosmetic,2024-05-03,Surface,Moderate,Automated Testing,380.52,3,3,2,2,2024,5,Friday,0.09,Medium,297,513.9084789644013,10,55.833099999999995,501.8043097643098
155,10,Structural,2024-01-24,Component,Minor,Visual Inspection,935.64,1,1,1,1,2024,1,Wednesday,0.16,Critical,351,502.6245738636364,3,100.8492,494.0540740740741
156,56,Functional,2024-05-21,Internal,Minor,Manual Testing,595.9,2,2,1,3,2024,5,Tuesday,0.18,High,352,507.0961061946902,6,99.163,526.0746875
157,96,Functional,2024-05-07,Surface,Minor,Manual Testing,788.22,2,3,1,3,2024,5,Tuesday,0.13,Critical,352,507.0961061946902,4,59.2923,526.0746875
158,96,Functional,2024-01-16,Surface,Critical,Visual Inspection,465.74,2,3,3,1,2024,1,Tuesday,0.13,Medium,351,507.0961061946902,8,59.2923,494.0540740740741
159,77,Structural,2024-05-19,Internal,Moderate,Automated Testing,661.8,1,2,2,2,2024,5,Sunday,0.14,High,297,502.6245738636364,9,76.5737,501.8043097643098
160,91,Structural,2024-05-17,Surface,Moderate,Manual Testing,532.77,1,3,2,3,2024,5,Friday,0.1,High,352,502.6245738636364,5,26.756999999999998,526.0746875
